"Universal Time","GOES secondary  Longwave","GOES secondary  Shortwave","GOES primary  Longwave","GOES primary  Shortwave"
"2024-05-05 00:00:00",0.000026108369638677686,0.0000035406478673394304,0.000026348012397647835,0.00000355420866071654
"2024-05-05 00:01:00",0.000024426521122222766,0.0000031754154861118877,0.00002463395503582433,0.000003196251327608479
"2024-05-05 00:02:00",0.000023165197490016,0.0000029547859412559774,0.000023366985260508955,0.0000029662537599506322
"2024-05-05 00:03:00",0.000022934709704713896,0.0000030016651635378366,0.000023137868993217126,0.000003014980620719143
"2024-05-05 00:04:00",0.00002326096910110209,0.000003159682819386944,0.000023476401111111045,0.0000031745612432132475
"2024-05-05 00:05:00",0.000023825799871701747,0.000003409963028389029,0.000024052411390584894,0.00000342834891853272
"2024-05-05 00:06:00",0.0000233971732086502,0.0000033160561088152463,0.00002360455437155906,0.0000033312526284134947
"2024-05-05 00:07:00",0.000022868938685860485,0.000003167391923852847,0.000023073063857736997,0.000003182563204973121
"2024-05-05 00:08:00",0.000021801550246891566,0.0000028832737370976247,0.000021988678781781346,0.000002898452294175513
"2024-05-05 00:09:00",0.000020561852579703555,0.000002564811211414053,0.00002073327050311491,0.000002574363634266774
"2024-05-05 00:10:00",0.000019358618374099024,0.0000022996703137323493,0.000019523591618053615,0.000002311329808435403
"2024-05-05 00:11:00",0.00001830473411246203,0.0000021347975689423038,0.00001845515907916706,0.0000021430000742839184
"2024-05-05 00:12:00",0.000017485841453890316,0.000002049010390692274,0.000017628872228669934,0.0000020616305391740752
"2024-05-05 00:13:00",0.00001690178396529518,0.000002016649432334816,0.00001703781344986055,0.0000020251575278962264
"2024-05-05 00:14:00",0.00001658923974900972,0.0000020164638954156544,0.00001672280632192269,0.0000020268003027013037
"2024-05-05 00:15:00",0.000016486907043145038,0.000002044065013251384,0.00001662164504523389,0.000002051527644653106
"2024-05-05 00:16:00",0.000016519612472620793,0.0000020728368781419704,0.00001665516356297303,0.0000020798865989490878
"2024-05-05 00:17:00",0.0000167783164215507,0.000002118253860317054,0.000016916266758926213,0.0000021284354261297267
"2024-05-05 00:18:00",0.000017148360711871646,0.0000021819428184244316,0.00001728257120703347,0.0000021931064111413434
"2024-05-05 00:19:00",0.00001726189839246217,0.0000021910966552241007,0.000017401891454937868,0.0000022006222479831195
"2024-05-05 00:20:00",0.000017232106984010898,0.0000021808928067912348,0.000017380769349983893,0.000002190264240198303
"2024-05-05 00:21:00",0.000016945272363955155,0.000002091495616696193,0.000017077432858059183,0.0000020957388642273145
"2024-05-05 00:22:00",0.00001654144944041036,0.000001977736474145786,0.000016668745956849307,0.000001986600409509265
"2024-05-05 00:23:00",0.000016152072930708528,0.0000018963928596349433,0.000016277990653179586,0.0000019053644564337446
"2024-05-05 00:24:00",0.000015580730178044178,0.000001788988242878986,0.000015699997675255872,0.0000017938924656846211
"2024-05-05 00:25:00",0.000015071793313836679,0.0000016937053715082584,0.000015183401956164744,0.0000016980769714791677
"2024-05-05 00:26:00",0.00001449635237804614,0.000001566065520819393,0.000014602635019400623,0.000001574524276293232
"2024-05-05 00:27:00",0.000013880602637073025,0.0000014487341104540974,0.000013985924852022436,0.0000014582727771994541
"2024-05-05 00:28:00",0.00001340510971203912,0.0000013606903621621314,0.000013495659004547633,0.0000013614923091154196
"2024-05-05 00:29:00",0.000012929895092383958,0.0000012639977740036556,0.000013015634067414794,0.0000012651097449634108
"2024-05-05 00:30:00",0.00001244364284502808,0.0000011600678817558219,0.00001253501159226289,0.0000011651242175503285
"2024-05-05 00:31:00",0.000012073091056663543,0.0000010925922424576129,0.000012158838217146695,0.0000010945216217805864
"2024-05-05 00:32:00",0.000011780193744925782,0.0000010464223123562988,0.00001186758072435623,0.0000010490120985195972
"2024-05-05 00:33:00",0.000011618431017268449,0.0000010458776387167745,0.000011701697985699866,0.0000010486259043318569
"2024-05-05 00:34:00",0.000011568136869755108,0.000001087303644453641,0.000011653669389488641,0.000001089801685338898
"2024-05-05 00:35:00",0.000011547743270057254,0.0000011134203532492393,0.000011633313988568261,0.0000011136072544104536
"2024-05-05 00:36:00",0.000011419901966291945,0.000001079474941434455,0.000011496003935462795,0.0000010819650242410717
"2024-05-05 00:37:00",0.000011306909073027782,0.0000010642274901329074,0.000011386376172595192,0.0000010657261100277537
"2024-05-05 00:38:00",0.000011244484085182194,0.0000010702824511099607,0.000011324953447910957,0.0000010726917025749572
"2024-05-05 00:39:00",0.000011223493856959976,0.0000010963200338665047,0.00001129859265347477,0.0000010983472975567565
"2024-05-05 00:40:00",0.000011234852536290418,0.0000011329682365612825,0.000011315780284348875,0.0000011362961913619074
"2024-05-05 00:41:00",0.000011728581739589572,0.0000012861854656875948,0.00001180645813292358,0.000001289125748371589
"2024-05-05 00:42:00",0.000012484723811212461,0.0000014877336980134714,0.000012561256880871952,0.000001497653443038871
"2024-05-05 00:43:00",0.000012957123544765636,0.000001551078753436741,0.000013065632629150059,0.000001560550344947842
"2024-05-05 00:44:00",0.000012988924027013127,0.0000014908471257513156,0.000013095710528432392,0.000001496768049946695
"2024-05-05 00:45:00",0.000012967528164153919,0.0000014422370213651448,0.00001306776175624691,0.0000014479411447609891
"2024-05-05 00:46:00",0.000013107448467053473,0.000001460137923459115,0.000013206838048063219,0.000001466566686758597
"2024-05-05 00:47:00",0.000013099384887027554,0.0000014224311826183111,0.000013197079169913195,0.0000014261604519560933
"2024-05-05 00:48:00",0.000012867416444350965,0.0000013460791024044738,0.00001296621576329926,0.0000013506054301615222
